Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
Magic Mike (2012),113721571,54017797,7000000.0,Warner Bros.,R,110,Comedy;Drama
The Bourne Legacy (2012),113203870,162940880,125000000.0,Universal Pictures,PG-13,135,Action;Adventure;Thriller
Argo (2012),136025503,96300000,44500000.0,Warner Bros.,R,120,Biography;Drama;Thriller
Journey 2: The Mysterious Island (2012),103860290,231400000,79000000.0,Warner Bros.,PG,94,Action;Adventure;Comedy;Family;Fantasy;Sci-Fi
Flight (2012),93772375,68000000,31000000.0,Paramount Pictures,R,138,Drama;Thriller
Think Like a Man (2012),91547205,4523302,12000000.0,Screen Gems,PG-13,123,Comedy;Romance
Rise of the Guardians (2012),103412758,203528912,145000000.0,DreamWorks,PG,97,Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi
The Campaign (2012),86907746,18000000,,Warner Bros.,R,85,Comedy
Life of Pi (2012),124987023,484029542,120000000.0,Twentieth Century Fox,PG,127,Adventure;Drama;Fantasy
The Expendables 2 (2012),85028192,229947763,100000000.0,Lionsgate,R,103,Action;Adventure;Thriller
Wrath of the Titans (2012),83670083,218300000,150000000.0,Warner Bros.,PG-13,99,Action;Adventure;Fantasy
Dark Shadows (2012),79727149,165800000,150000000.0,Warner Bros.,PG-13,113,Comedy;Fantasy;Horror
John Carter (2012),73078100,211061000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,132,Action;Adventure;Sci-Fi
Les Misérables (2012),148809770,293000000,61000000.0,Universal Pictures,PG-13,158,Drama;History;Musical;Romance;War
Act of Valor (2012),70012847,12484188,12000000.0,Relativity Media,R,110,Action;Adventure;Thriller;War
Django Unchained (2012),162805434,262562804,100000000.0,The Weinstein Company,R,165,Drama;Western
Contraband (2012),66528000,29734212,25000000.0,Universal Pictures,R,109,Action;Crime;Drama;Thriller
Looper (2012),66486205,110020614,30000000.0,TriStar Pictures,R,113,Action;Drama;Sci-Fi;Thriller
Madea's Witness Protection (2012),65653242,1246000,20000000.0,Lionsgate,PG-13,114,Comedy;Crime;Drama
Battleship (2012),65422625,237602860,209000000.0,Universal Pictures,PG-13,131,Action;Adventure;Sci-Fi;Thriller
Mirror Mirror (2012),64935167,118083355,85000000.0,Relativity Media,PG,106,Adventure;Comedy;Drama;Family;Fantasy
Chronicle (2012),64575175,62060922,12000000.0,Twentieth Century Fox,PG-13,89,Adventure;Drama;Sci-Fi;Thriller
Pitch Perfect (2012),65001093,50349333,17000000.0,Universal Pictures,PG-13,112,Comedy;Music;Romance
Hope Springs (2012),63536011,50745040,,Sony Pictures Entertainment (SPE),PG-13,100,Comedy;Drama;Romance
Underworld: Awakening (2012),62321039,97791632,70000000.0,Screen Gems,R,88,Action;Fantasy;Horror;Sci-Fi
The Lucky One (2012),60457138,38900000,,Warner Bros.,PG-13,101,Drama;Mystery;Romance;War
The Dictator (2012),59650222,119729311,65000000.0,Paramount Pictures,R,83,Comedy
Total Recall (2012),58877969,139589199,125000000.0,Sony Pictures Entertainment (SPE),PG-13,118,Action;Adventure;Sci-Fi;Thriller
Titanic (2012),57884114,292565407,200000000.0,Paramount Pictures,PG-13,194,Drama;Romance
American Reunion (2012),57011521,177978063,50000000.0,Universal Pictures,R,113,Comedy
ParaNorman (2012),56003051,51136348,60000000.0,Focus Features,PG,92,Adventure;Animation;Comedy;Family;Fantasy;Mystery
This Means War (2012),54760791,101730488,65000000.0,Twentieth Century Fox,PG-13,103,Action;Comedy;Romance
Project X (2012),54731865,48000000,,Warner Bros.,R,88,Comedy
The Woman in Black (2012),54333290,74622608,,CBS Films,PG-13,95,Drama;Fantasy;Horror;Thriller
Paranormal Activity 4 (2012),53885000,88917657,5000000.0,Paramount Pictures,R,88,Horror;Mystery
The Devil Inside (2012),53261944,48496546,1000000.0,Paramount Pictures,R,83,Horror
The Odd Life of Timothy Green (2012),51854875,4157767,,Walt Disney Studios Motion Pictures,PG,105,Comedy;Drama;Family;Fantasy
Ghost Rider: Spirit of Vengeance (2012),51774002,80789928,57000000.0,Sony Pictures Entertainment (SPE),PG-13,96,Action;Fantasy;Thriller
The Grey (2012),51580236,28201459,25000000.0,Open Road Films (II),R,117,Action;Adventure;Drama;Thriller
Red Tails (2012),49876377,489121,58000000.0,Twentieth Century Fox,PG-13,125,Action;Drama;History;War
The Possession (2012),49130154,36315921,14000000.0,Lionsgate,PG-13,92,Horror;Mystery;Thriller
Diary of a Wimpy Kid: Dog Days (2012),49008662,28221033,22000000.0,Twentieth Century Fox,PG,94,Animation;Comedy;Family
Sinister (2012),48086903,34428210,3000000.0,Lionsgate,R,110,Horror;Mystery;Thriller
Beauty and the Beast (2012),47617067,15150762,25000000.0,Walt Disney Studios Motion Pictures,,84,Animation;Family;Fantasy;Musical;Romance
Jack Reacher (2012),80070736,138269859,60000000.0,Paramount Pictures,PG-13,130,Action;Thriller
Savages (2012),47382068,35584084,45000000.0,Universal Pictures,R,131,Crime;Thriller
The Best Exotic Marigold Hotel (2012),46412041,90424115,10000000.0,Fox Searchlight Pictures,PG-13,124,Comedy;Drama;Romance
Moonrise Kingdom (2012),45512466,22750700,16000000.0,Focus Features,PG-13,94,Comedy;Drama;Romance
The Three Stooges (2012),44338224,10481077,30000000.0,Twentieth Century Fox,PG,92,Comedy;Family
Here Comes the Boom (2012),45290318,27809854,,Sony Pictures Entertainment (SPE),PG,105,Action;Comedy;Sport
Red Dawn (2012),44806783,6143513,65000000.0,FilmDistrict,PG-13,93,Action;Drama
Star Wars: Episode I - The Phantom Menace (2012),43456382,59283211,115000000.0,Twentieth Century Fox,PG,136,Action;Adventure;Fantasy;Sci-Fi
Resident Evil: Retribution (2012),42345531,197813724,65000000.0,Screen Gems,R,95,Action;Horror;Sci-Fi;Thriller
The Cabin in the Woods (2012),42073277,27862323,,Lionsgate,R,95,Horror;Mystery;Thriller
What to Expect When You're Expecting (2012),41152203,43231799,40000000.0,Lionsgate,PG-13,110,Comedy;Drama;Romance
Finding Nemo (2012),41128283,28200000,94000000.0,Walt Disney Studios Motion Pictures,,100,Adventure;Animation;Comedy;Family
End of Watch (2012),41003371,14074775,7000000.0,Open Road Films (II),R,109,Action;Crime;Drama;Thriller
This Is 40 (2012),67544505,20670651,35000000.0,Universal Pictures,R,134,Comedy;Romance
Rock of Ages (2012),38518613,20900000,75000000.0,Warner Bros.,PG-13,123,Comedy;Drama;Musical;Romance
Abraham Lincoln: Vampire Hunter (2012),37519139,78952441,69000000.0,Twentieth Century Fox,R,105,Action;Fantasy;Horror
Lawless (2012),37400127,18004032,,The Weinstein Company,R,116,Crime;Drama
That's My Boy (2012),36931089,20788004,70000000.0,Sony Pictures Entertainment (SPE),R,116,Comedy
Trouble with the Curve (2012),35763137,13200000,,Warner Bros.,PG-13,111,Drama;Sport
The Watch (2012),35353000,32914862,68000000.0,Twentieth Century Fox,R,102,Comedy;Sci-Fi
Step Up Revolution (2012),35074677,105396069,33000000.0,Lionsgate,PG-13,99,Drama;Music;Romance
Good Deeds (2012),35025791,553386,,Lionsgate,PG-13,129,Comedy;Drama;Romance
Frankenweenie (2012),35291068,46200000,39000000.0,Walt Disney Studios Motion Pictures,PG,87,Animation;Comedy;Family;Horror;Sci-Fi
Parental Guidance (2012),77267296,42504936,25000000.0,Twentieth Century Fox,PG,105,Comedy;Family
2016: Obama's America (2012),33449086,33449086,,Rocky Mountain Pictures,PG,87,Documentary
House at the End of the Street (2012),31611916,12675215,10000000.0,Relativity Media,PG-13,101,Drama;Horror;Thriller
Extremely Loud & Incredibly Close (2011),31847881,23400000,,Warner Bros.,PG-13,129,Adventure;Drama;Mystery
The Pirates! Band of Misfits (2012),31051126,92002915,55000000.0,Sony Pictures Entertainment (SPE),PG,88,Adventure;Animation;Comedy;Family
Joyful Noise (2012),30932113,226000,,Warner Bros.,PG-13,118,Comedy;Drama;Music
The Iron Lady (2011),30017992,85872707,,The Weinstein Company,PG-13,105,Biography;Drama
Chimpanzee (2012),28972764,5851000,,Walt Disney Studios Motion Pictures,G,78,Documentary;Family
The Five-Year Engagement (2012),28835528,25333835,30000000.0,Universal Pictures,R,124,Comedy;Romance
Silver Linings Playbook (2012),132092958,104319495,21000000.0,The Weinstein Company,R,122,Comedy;Drama;Romance
Cloud Atlas (2012),27108272,103374596,,Warner Bros.,R,172,Action;Drama;Mystery;Sci-Fi
One for the Money (2012),26414527,11666262,40000000.0,Lionsgate,PG-13,91,Action;Comedy;Crime;Thriller
Alex Cross (2012),25888412,8730455,35000000.0,Lionsgate,PG-13,101,Action;Crime;Mystery;Thriller
Part of Me (2012),25326071,7400885,12000000.0,Paramount Pictures,PG,93,Documentary;Music
Sparkle (2012),24397469,240331,14000000.0,TriStar Pictures,PG-13,116,Drama;Music
The Guilt Trip (2012),37134215,4729511,40000000.0,Paramount Pictures,PG-13,95,Comedy;Drama
Premium Rush (2012),20275446,10808153,35000000.0,Sony Pictures Entertainment (SPE),PG-13,91,Action;Crime;Thriller
Big Miracle (2012),20157300,4561915,40000000.0,Universal Pictures,PG,107,Biography;Drama;Family;Romance
"Monsters, Inc. (2012)",34043006,16164814,115000000.0,Walt Disney Studios Motion Pictures,G,92,Adventure;Animation;Comedy;Family;Fantasy
The Secret World of Arrietty (2012),19202743,129597531,,Walt Disney Studios Motion Pictures,,94,Adventure;Animation;Family;Fantasy
Haywire (2012),18942396,15571364,23000000.0,Relativity Media,R,93,Action;Drama;Thriller
Man on a Ledge (2012),18620000,29016031,42000000.0,Lionsgate,PG-13,102,Action;Crime;Thriller
A Thousand Words (2012),18450127,3594150,40000000.0,DreamWorks,PG-13,91,Comedy;Drama
Chernobyl Diaries (2012),18119640,20270380,,Warner Bros.,R,86,Horror;Mystery;Thriller
Silent Hill: Revelation (2012),17529157,37833548,20000000.0,Open Road Films (II),R,95,Action;Adventure;Fantasy;Horror;Mystery
Wanderlust (2012),17450535,6362281,,Universal Pictures,R,98,Comedy;Romance
